basename	edge_label	prune_label	pathlength	exterior2surface	surface2volume	mindfe	maxdfe	minmaxdfe	length2width	depth	angle
671_PV_skeleton_graphs.pckle	((319, 261, 125), (343, 242, 127))	0	23	0.775	0.10142923006	4	7	3	4.18181818182	50.0744491022	0.0245760111857
671_PV_skeleton_graphs.pckle	((319, 261, 125), (361, 264, 113))	0	45	0.910923115203	0.0758115933828	2	7	5	10.0	50.0744491022	0.0216553653772
671_PV_skeleton_graphs.pckle	((287, 221, 109), (168, 289, 110))	0	137	0.922792792793	0.0636187004591	2	9	7	24.9090909091	14.5173418846	0.0304795075389
202_PV_skeleton_graphs.pckle	((348, 256, 130), (352, 258, 126))	0	3	0.71320754717	0.345953002611	5	5	0	0.6	60.433134919	None
202_PV_skeleton_graphs.pckle	((348, 256, 130), (355, 249, 128))	0	6	0.732122587968	0.377787307033	4	5	1	1.33333333333	60.433134919	0.0165312573306
202_PV_skeleton_graphs.pckle	((284, 216, 133), (174, 259, 119))	0	113	0.922076265782	0.200871013193	3	9	6	18.8333333333	10.9039074377	0.021771783396
849_PV_skeleton_graphs.pckle	((200, 284, 188), (188, 291, 210))	0	21	0.658359293873	0.0300604017418	4	9	5	3.23076923077	85.6750466352	0.0169485515307
849_PV_skeleton_graphs.pckle	((185, 297, 177), (189, 315, 179))	0	17	0.742336371168	0.0335361618182	4	7	3	3.09090909091	95.765083866	None
849_PV_skeleton_graphs.pckle	((185, 297, 177), (184, 313, 156))	0	22	0.847027027027	0.0246824634433	5	7	2	3.66666666667	95.765083866	None
849_PV_skeleton_graphs.pckle	((187, 294, 179), (169, 284, 178))	0	18	0.622439893143	0.0364208341441	3	7	4	3.6	95.765083866	0.0159891322781
849_PV_skeleton_graphs.pckle	((297, 264, 234), (311, 253, 232))	0	14	0.624346527259	0.0270480461372	5	11	6	1.75	66.8374923027	0.0234375336377
849_PV_skeleton_graphs.pckle	((315, 290, 223), (321, 305, 228))	0	14	0.689883913765	0.0355773201959	4	8	4	2.33333333333	87.1611517294	0.0157547699652
849_PV_skeleton_graphs.pckle	((319, 291, 217), (329, 281, 209))	0	10	0.715712988193	0.0358246835649	3	7	4	2.0	90.6268208888	0.0157511844484
